Date,Time,Temperature,Voltage
04-05-2019,22:15,299.65,
04-05-2019,22:30,299.6,
04-05-2019,22:45,299.55,
04-05-2019,23:00,299.51,
04-05-2019,23:15,299.47,
04-05-2019,23:30,299.43,
04-05-2019,23:45,299.39,
04-05-2019,24:00:00,299.36,
05-05-2019,00:15,299.33,
05-05-2019,00:30,299.3,
05-05-2019,00:45,299.36,
05-05-2019,01:00,299.52,
05-05-2019,01:15,299.67,
05-05-2019,01:30,299.83,
05-05-2019,01:45,300.06,
05-05-2019,02:00,300.36,
05-05-2019,02:15,300.67,
05-05-2019,02:30,300.97,
05-05-2019,02:45,301.28,
05-05-2019,03:00,301.6,
05-05-2019,03:15,301.92,
05-05-2019,03:30,302.24,
05-05-2019,03:45,302.56,
05-05-2019,04:00,302.87,
05-05-2019,04:15,303.18,
05-05-2019,04:30,303.49,
05-05-2019,04:45,303.78,
05-05-2019,05:00,304.05,
05-05-2019,05:15,304.32,
05-05-2019,05:30,304.59,
05-05-2019,05:45,304.83,
05-05-2019,06:00,305.04,416.62
05-05-2019,06:15,305.25,415.34
05-05-2019,06:30,305.46,417.39
05-05-2019,06:45,305.63,416.53
05-05-2019,07:00,305.75,417.46
05-05-2019,07:15,305.87,413.84
05-05-2019,07:30,306,412.8
05-05-2019,07:45,306.07,413.36
05-05-2019,08:00,306.1,414.44
05-05-2019,08:15,306.12,410.52
05-05-2019,08:30,306.15,412.02
05-05-2019,08:45,306.13,417.57
05-05-2019,09:00,306.07,417.23
05-05-2019,09:15,306,418.51
05-05-2019,09:30,305.94,415.27
05-05-2019,09:45,305.85,419.7
05-05-2019,10:00,305.73,421.9
05-05-2019,10:15,305.61,417.3
05-05-2019,10:30,305.49,420.25
05-05-2019,10:45,305.34,419.37
05-05-2019,11:00,305.15,419.16
05-05-2019,11:15,304.97,418.12
05-05-2019,11:30,304.78,419.31
05-05-2019,11:45,304.56,422.35
05-05-2019,12:00,304.32,417.61
05-05-2019,12:15,304.08,420.15
05-05-2019,12:30,303.83,419.46
05-05-2019,12:45,303.58,419.99
05-05-2019,13:00,303.32,417.39
05-05-2019,13:15,303.06,419.7
05-05-2019,13:30,302.79,420.15
05-05-2019,13:45,302.58,417.39
05-05-2019,14:00,302.41,417.62
05-05-2019,14:15,302.24,425.83
05-05-2019,14:30,302.07,416.7
05-05-2019,14:45,301.94,414.4
05-05-2019,15:00,301.84,424.18
05-05-2019,15:15,301.73,416.76
05-05-2019,15:30,301.63,413.68
05-05-2019,15:45,301.54,420.23
05-05-2019,16:00,301.45,418.61
05-05-2019,16:15,301.37,414.7
05-05-2019,16:30,301.29,412.95
05-05-2019,16:45,301.21,414.55
05-05-2019,17:00,301.13,414.58
05-05-2019,17:15,301.05,413.74
05-05-2019,17:30,300.97,413.05
05-05-2019,17:45,300.89,414.97
05-05-2019,18:00,300.81,420.42
05-05-2019,18:15,300.73,409.07
05-05-2019,18:30,300.64,409.02
05-05-2019,18:45,300.56,414.11
05-05-2019,19:00,300.49,411.87
05-05-2019,19:15,300.41,
05-05-2019,19:30,300.33,
05-05-2019,19:45,300.26,
05-05-2019,20:00,300.18,
05-05-2019,20:15,300.1,
05-05-2019,20:30,300.03,
05-05-2019,20:45,299.95,
05-05-2019,21:00,299.88,
05-05-2019,21:15,299.81,
05-05-2019,21:30,299.73,
05-05-2019,21:45,299.66,
05-05-2019,22:00,299.58,
05-05-2019,22:15,299.51,
05-05-2019,22:30,299.43,
05-05-2019,22:45,299.36,
05-05-2019,23:00,299.3,
05-05-2019,23:15,299.23,
05-05-2019,23:30,299.17,
05-05-2019,23:45,299.12,
05-05-2019,24:00:00,299.08,
06-05-2019,00:15,299.04,
06-05-2019,00:30,299,
06-05-2019,00:45,299.06,
06-05-2019,01:00,299.21,
06-05-2019,01:15,299.36,
06-05-2019,01:30,299.51,
06-05-2019,01:45,299.74,
06-05-2019,02:00,300.05,
06-05-2019,02:15,300.35,
06-05-2019,02:30,300.66,
06-05-2019,02:45,301.01,
06-05-2019,03:00,301.41,
06-05-2019,03:15,301.81,
06-05-2019,03:30,302.21,
06-05-2019,03:45,302.62,
06-05-2019,04:00,303.03,
06-05-2019,04:15,303.44,
06-05-2019,04:30,303.85,
06-05-2019,04:45,304.24,
06-05-2019,05:00,304.61,
06-05-2019,05:15,304.98,
06-05-2019,05:30,305.35,
06-05-2019,05:45,305.67,
06-05-2019,06:00,305.94,412.48
06-05-2019,06:15,306.2,408.53
06-05-2019,06:30,306.47,417.35
06-05-2019,06:45,306.66,416.69
06-05-2019,07:00,306.78,416.52
06-05-2019,07:15,306.9,411.75
06-05-2019,07:30,307.02,415.91
06-05-2019,07:45,307.07,414.17
