Date/Time,volts,amps,watts,volts.1,none,celsius,kilowatt-hours,watts.1,hertz,kilowatt-hours.1,watts.2,volts.2,volts.3,volts.4,volts.5,date/time,new_date/time
2025-01-19 10:15,417.330200195312,43.299438476562,32077.025390625,557.142720540364,0.0,57.464124043783,2.576000000001,31220.16015625,50.018218994141,2.576000000001,31220.16015625,417.330200195312,415.873229980469,418.87353515625,417.243835449219,2025-01-19 10:15:00,19/01/2025 10:15 AM
2025-01-19 10:20,415.548756917318,44.424839019775,32535.1044921875,559.891642252604,0.0,58.21669514974,2.623999999982,31927.275390625,49.978145599365,2.623999999982,31927.275390625,415.548756917318,413.8642578125,417.364776611328,415.417236328125,2025-01-19 10:20:00,19/01/2025 10:20 AM
2025-01-19 10:25,415.664611816406,45.13542175293,33157.0595703125,562.880655924479,0.0,58.92418162028,2.680000000022,32421.4921875,50.039283752441,2.680000000022,32421.4921875,415.664611816406,414.257629394531,416.727935791016,416.008270263672,2025-01-19 10:25:00,19/01/2025 10:25 AM
2025-01-19 10:30,418.088612874349,46.245582580566,34275.412109375,558.504842122396,0.0,58.62392171224,2.735999999975,33398.19140625,50.0009765625,2.735999999975,33398.19140625,418.088612874349,417.135528564453,419.854614257812,417.275695800781,2025-01-19 10:30:00,19/01/2025 10:30 AM
2025-01-19 10:35,419.93891398112,46.198177337646,34419.478515625,561.065795898438,0.0,57.658714294434,2.760000000009,33527.015625,50.051605224609,2.760000000009,33527.015625,419.93891398112,418.778198242188,421.863830566406,419.174713134766,2025-01-19 10:35:00,19/01/2025 10:35 AM
2025-01-19 10:40,419.503702799479,46.643718719482,34674.2529296875,562.382466634114,0.0,57.502614339193,2.80799999999,33837.6640625,50.022285461426,2.80799999999,33837.6640625,419.503702799479,418.371917724609,422.299713134766,417.839477539062,2025-01-19 10:40:00,19/01/2025 10:40 AM
2025-01-19 10:45,419.707814534505,46.990898132324,34968.376953125,562.676900227864,0.0,57.718030293783,2.847999999998,34100.2734375,49.959327697754,2.847999999998,34100.2734375,419.707814534505,417.96142578125,422.171539306641,418.990478515625,2025-01-19 10:45:00,19/01/2025 10:45 AM
2025-01-19 10:50,418.855244954427,47.785144805908,35371.14453125,570.92881266276,0.0,58.004084269206,2.880000000005,34562.63671875,50.022426605225,2.880000000005,34562.63671875,418.855244954427,417.185211181641,421.259887695312,418.120635986328,2025-01-19 10:50:00,19/01/2025 10:50 AM
2025-01-19 10:55,420.149871826172,48.660259246826,36173.1328125,566.313435872396,0.0,58.517697652181,2.928000000014,35329.03515625,49.989402770996,2.928000000014,35329.03515625,420.149871826172,418.973999023438,422.826446533203,418.649169921875,2025-01-19 10:55:00,19/01/2025 10:55 AM
2025-01-19 11:00,413.640767415365,49.889392852783,36488.1474609375,565.883544921875,0.0,58.942014058431,2.95199999999,35641.15234375,50.049022674561,2.95199999999,35641.15234375,413.640767415365,412.298065185547,415.7109375,412.913299560547,2025-01-19 11:00:00,19/01/2025 11:00 AM
2025-01-19 11:05,413.330942789714,49.838752746582,36412.056640625,566.110595703125,0.0,59.38013458252,2.983999999997,35596.24609375,50.000389099121,2.983999999997,35596.24609375,413.330942789714,412.679565429688,415.035369873047,412.277893066406,2025-01-19 11:05:00,19/01/2025 11:05 AM
2025-01-19 11:10,413.767150878906,50.793224334717,37159.85546875,563.205485026042,0.0,59.806060791016,2.991999999998,36336.828125,49.977607727051,2.991999999998,36336.828125,413.767150878906,412.230407714844,416.061218261719,413.009826660156,2025-01-19 11:10:00,19/01/2025 11:10 AM
2025-01-19 11:15,414.158711751302,50.694095611572,37166.9794921875,561.362426757812,0.0,60.126619974772,3.016000000003,36295.00390625,49.967964172363,3.016000000003,36295.00390625,414.158711751302,413.064605712891,415.551727294922,413.859802246094,2025-01-19 11:15:00,19/01/2025 11:15 AM
2025-01-19 11:20,413.264241536458,51.494186401367,37652.5400390625,563.720520019531,0.0,60.495475769043,3.04800000001,36829.4453125,49.967578887939,3.04800000001,36829.4453125,413.264241536458,412.310485839844,413.657867431641,413.824371337891,2025-01-19 11:20:00,19/01/2025 11:20 AM
2025-01-19 11:25,415.130767822266,51.038230895996,37499.9111328125,566.624877929688,0.0,60.73370107015,3.079999999987,36618.32421875,50.001876831055,3.079999999987,36618.32421875,415.130767822266,414.065673828125,417.260223388672,414.06640625,2025-01-19 11:25:00,19/01/2025 11:25 AM
2025-01-19 11:30,416.023254394531,51.988140106201,38257.9287109375,565.387166341146,0.0,61.171618143717,3.09600000002,37379.93359375,50.011390686035,3.09600000002,37379.93359375,416.023254394531,414.891845703125,417.955688476562,415.222229003906,2025-01-19 11:30:00,19/01/2025 11:30 AM
2025-01-19 11:35,414.129852294922,51.561416625977,37706.349609375,562.852355957031,0.0,61.272450764974,3.079999999987,36879.15234375,49.975593566895,3.079999999987,36879.15234375,414.129852294922,412.497772216797,416.062408447266,413.829376220703,2025-01-19 11:35:00,19/01/2025 11:35 AM
2025-01-19 11:40,412.242828369141,53.121105194092,38693.8447265625,562.858968098958,0.0,61.608200073242,3.09599999999,37852.21875,49.968631744385,3.09599999999,37852.21875,412.242828369141,411.240966796875,413.751068115234,411.736450195312,2025-01-19 11:40:00,19/01/2025 11:40 AM
2025-01-19 11:45,409.888804117838,52.638240814209,38210.6484375,560.81581624349,0.0,61.950551350911,3.152000000002,37336.47265625,49.954944610596,3.152000000002,37336.47265625,409.888804117838,407.932800292969,412.923187255859,408.810424804688,2025-01-19 11:45:00,19/01/2025 11:45 AM
2025-01-19 11:50,422.376586914062,50.159683227539,37661.720703125,553.320841471354,0.0,55.728109995524,1.600000000006,36648.1875,50.020622253418,1.600000000006,36648.1875,422.376586914062,419.387268066406,425.224212646484,422.518280029297,2025-01-19 11:50:00,19/01/2025 11:50 AM
2025-01-19 11:55,420.189626057943,50.166664123535,37337.0966796875,552.652099609375,0.0,58.824096679688,3.056000000011,36432.82421875,49.976943969727,3.056000000011,36432.82421875,420.189626057943,418.987182617188,421.308502197266,420.273193359375,2025-01-19 11:55:00,19/01/2025 11:55 AM
