Date/Time,avg_3phase_voltage,avg_current,average_dc_power,average_dc_voltage,none,average_device_temperature,kilowatt-hours,watts,hertz,kilowatt-hours,watts,volts,volts,volts,volts
2025-01-14 11:35,88.276512145996,63990.4853515625,412.344960530599,615.408070882161,0,59.983868916829,4.992000000027,62677.30078125,50.092697143555,4.992000000027,62677.30078125,412.344960530599,410.801910400391,413.509063720703,412.723907470703
2025-01-14 11:40,88.922439575195,64556.7919921875,412.239857991536,611.99228922526,0,60.15834681193,6.015999999945,63094.0078125,50.099689483643,6.015999999945,63094.0078125,412.239857991536,411.74951171875,412.541107177734,412.428955078125
2025-01-14 11:45,87.088752746582,63038.6479492188,411.269205729167,614.055653889974,0,60.02682240804,4.992000000027,61681.2578125,50.068698883057,4.992000000027,61681.2578125,411.269205729167,410.635101318359,411.571533203125,411.600982666016
2025-01-14 11:50,89.693740844727,64832.8833007813,410.818908691406,609.789316813151,0,60.151774088542,4.992000000027,63438.6796875,50.053737640381,4.992000000027,63438.6796875,410.818908691406,411.451354980469,410.825622558594,410.179748535156
2025-01-14 11:55,88.65544128418,64522.3911132813,413.794830322266,607.343109130859,0,60.359620412191,5.023999999976,63182.54296875,50.152481079102,5.023999999976,63182.54296875,413.794830322266,413.155944824219,414.654388427734,413.574157714844
2025-01-14 12:00,84.882926940918,61817.9653320313,413.450815836588,605.998494466146,0,60.481633504232,4.991999999969,60436.12890625,50.212554931641,4.991999999969,60436.12890625,413.450815836588,412.883483886719,413.934631347656,413.534332275391
2025-01-14 12:05,88.736846923828,63735.2104492188,408.458506266276,608.702290852864,0,59.746899922689,4.992000000027,62435.86328125,50.253211975098,4.992000000027,62435.86328125,408.458506266276,408.344787597656,408.769226074219,408.261505126953
2025-01-14 12:10,96.154891967773,69818.0478515625,412.862457275391,606.891662597656,0,61.293078104655,6.016000000003,68389.40625,50.148235321045,6.016000000003,68389.40625,412.862457275391,414.080871582031,412.934356689453,411.572143554688
2025-01-14 12:15,92.292297363281,67132.896484375,412.643381754557,606.716512044271,0,61.542804718018,4.991999999969,65682.203125,50.096488952637,4.991999999969,65682.203125,412.643381754557,412.244232177734,413.451782226562,412.234130859375
2025-01-14 12:20,91.305244445801,66152.0576171875,412.447408040365,607.157267252604,0,61.456558227539,5.984000000055,64878.734375,50.081604003906,5.984000000055,64878.734375,412.447408040365,412.480407714844,413.321960449219,411.539855957031
2025-01-14 12:25,77.466682434082,56043.8247070313,411.626454671224,615.217508951823,0,60.133518218994,5.023999999976,54875.015625,50.053665161133,5.023999999976,54875.015625,411.626454671224,411.674743652344,412.308166503906,410.896453857422
2025-01-14 12:30,76.129188537598,55443.6635742188,414.259043375651,617.316925048828,0,58.97846476237,3.967999999993,54315.39453125,50.072540283203,3.967999999993,54315.39453125,414.259043375651,414.122283935547,415.239105224609,413.415740966797
2025-01-14 12:35,78.498245239258,57180.2924804688,414.510945638021,612.709513346354,0,59.234427134196,5.023999999976,56053.3671875,50.026397705078,5.023999999976,56053.3671875,414.510945638021,414.147155761719,415.255523681641,414.130157470703
2025-01-14 12:40,82.531761169434,59957.4916992188,412.473073323568,612.313496907552,0,59.453973134359,4.992000000027,58629.94140625,50.013984680176,4.992000000027,58629.94140625,412.473073323568,412.417755126953,413.139953613281,411.861511230469
2025-01-14 12:45,82.184204101562,59729.6826171875,412.781778971354,611.375651041667,0,59.869238535563,4,58483.2109375,50.045356750488,4,58483.2109375,412.781778971354,412.891784667969,413.5390625,411.914489746094
2025-01-14 12:50,87.822380065918,64144.921875,415.462483723958,612.754669189453,0,60.56186803182,6.016000000003,62842.83203125,50.008926391602,6.016000000003,62842.83203125,415.462483723958,414.148864746094,416.843536376953,415.395050048828
